timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-08-08T00:57:43.478Z,CRVUSDT,BUY,0.212900,9374.790532024,"[tsmom28-1d-state-long] Trailing 28-candle return is positive (3.50%) — state construction holds long while momentum is positive. || broker fill 0.213128981 qty 9374.790532024, slippage +20.2 bps vs decision mark 0.212700, signal-drift +10.8 bps vs signal close, order bot-CRVUSDT-1786147200000",alpaca-paper,open,
2026-08-08T01:07:00.477Z,BTCUSDT,BUY,64918.92,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 103 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -35.44%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3142
2026-08-08T01:07:00.989Z,SOLUSDT,BUY,73.71,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 93 real prior losses vs 20 wins on bullish-cross-9/21-5m (net -33.30%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.0422
2026-08-08T10:18:54.800Z,BTCUSDT,SELL,64996.77,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 112 real prior losses vs 17 wins on bearish-cross-9/21-5m (net -38.51%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3339
2026-08-08T10:49:09.235Z,BTCUSDT,BUY,65010.01,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 104 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -35.76%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3615
2026-08-08T11:29:36.181Z,BTCUSDT,SELL,64978.98,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 113 real prior losses vs 17 wins on bearish-cross-9/21-5m (net -38.84%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3128
2026-08-08T11:44:52.243Z,ETHUSDT,SELL,1919.54,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 103 real prior losses vs 26 wins on bearish-cross-9/21-5m (net -37.06%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3276
2026-08-08T12:45:49.288Z,BTCUSDT,BUY,65005.82,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 105 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -36.12%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2962
2026-08-08T12:55:57.328Z,ETHUSDT,BUY,1920.57,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 97 real prior losses vs 23 wins on bullish-cross-9/21-5m (net -36.09%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3500
2026-08-08T13:00:59.793Z,ETHUSDT,SELL,1919.19,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 104 real prior losses vs 26 wins on bearish-cross-9/21-5m (net -37.39%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3422
2026-08-08T13:31:25.473Z,SOLUSDT,SELL,75.52,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 92 real prior losses vs 24 wins on bearish-cross-9/21-5m (net -24.90%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.6708
2026-08-08T13:56:54.168Z,SOLUSDT,BUY,75.50,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 94 real prior losses vs 20 wins on bullish-cross-9/21-5m (net -33.34%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,win,0.8523
2026-08-08T15:42:07.278Z,BTCUSDT,SELL,65067.51,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 114 real prior losses vs 17 wins on bearish-cross-9/21-5m (net -39.15%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2661
2026-08-08T15:47:09.988Z,ETHUSDT,SELL,1922.12,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 105 real prior losses vs 26 wins on bearish-cross-9/21-5m (net -37.73%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2917
2026-08-08T16:27:47.152Z,SOLUSDT,SELL,76.28,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 93 real prior losses vs 24 wins on bearish-cross-9/21-5m (net -25.57%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3655
2026-08-08T17:23:14.749Z,BTCUSDT,BUY,65110.54,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 106 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -36.42%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3582
2026-08-08T17:33:20.625Z,ETHUSDT,BUY,1924.05,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 98 real prior losses vs 23 wins on bullish-cross-9/21-5m (net -36.44%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.4736
2026-08-08T17:33:20.854Z,SOLUSDT,BUY,76.45,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 94 real prior losses vs 21 wins on bullish-cross-9/21-5m (net -32.49%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.7709
2026-08-08T18:23:47.421Z,SOLUSDT,SELL,76.19,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 94 real prior losses vs 24 wins on bearish-cross-9/21-5m (net -25.94%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.1162
2026-08-08T18:28:49.844Z,ETHUSDT,SELL,1919.78,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 106 real prior losses vs 26 wins on bearish-cross-9/21-5m (net -38.02%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3583
2026-08-08T18:33:52.629Z,BTCUSDT,SELL,65038.20,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 115 real prior losses vs 17 wins on bearish-cross-9/21-5m (net -39.42%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2705
2026-08-08T20:09:43.134Z,BTCUSDT,BUY,65075.99,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 107 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -36.77%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2949
2026-08-08T20:14:45.971Z,SOLUSDT,BUY,76.22,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 95 real prior losses vs 21 wins on bullish-cross-9/21-5m (net -33.26%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.1688
2026-08-08T20:55:04.865Z,ETHUSDT,BUY,1920.39,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 99 real prior losses vs 23 wins on bullish-cross-9/21-5m (net -36.91%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2583
2026-08-08T22:10:58.224Z,SOLUSDT,SELL,76.21,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 95 real prior losses vs 24 wins on bearish-cross-9/21-5m (net -26.05%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,win,0.1593
